author,location,lat,lon
@Patpalma27,"Miami,Florida,United States of America",25.7840,-80.2102
@bratsouleas,"Las Vegas,Nevada,United States of America",36.2291,-115.2607
@RaoulFOX5,"San Diego,California,United States of America",32.8312,-117.1226
@JessicaA_Noel,"San Diego,California,United States of America",32.8312,-117.1226
@m_quillen,"Santa Cruz,California,United States of America",36.9788,-122.0346
@MelzPetPals,"Minneapolis,Minnesota,United States of America",44.9635,-93.2678
@a_b_morrison,"Cincinnati,Ohio,United States of America",39.1412,-84.5059
@guitarcarr,"Greenville,South Carolina,United States of America",34.8363,-82.3650
@CatrinaRazvan,"Philadelphia,Pennsylvania,United States of America",40.0076,-75.1340
@T0pGunns,"Richmond,Virginia,United States of America",37.5295,-77.4756
@RXFITATX,"Austin,Texas,United States of America",30.3006,-97.7517
@Adam_Ashton,"Sacramento,California,United States of America",38.5667,-121.4683
@BxBombers_21,"New York,New York,United States of America",40.6943,-73.9249
@shgmclicious,"Tucson,Arizona,United States of America",32.1546,-110.8782
@745Woody,"Chicago,Illinois,United States of America",41.8373,-87.6861
@shakalee1,"New York,New York,United States of America",40.6943,-73.9249
@Fighting4Nellie,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@SyracuseIso,"Syracuse,New York,United States of America",43.0409,-76.1438
@GoTrumpFL,"Fort Pierce,Florida,United States of America",27.4256,-80.3425
@ashkenerdi,"Pittsburgh,Pennsylvania,United States of America",40.4396,-79.9763
@dmpwrocks,"Lake Charles,Louisiana,United States of America",30.2030,-93.2150
@johnkawakami,"Los Angeles,California,United States of America",34.1139,-118.4068
@TiporTiff,"New York,New York,United States of America",40.6943,-73.9249
@AmyEAdams77,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@AdamHubrig,"Lincoln,Nebraska,United States of America",40.8098,-96.6802
@ellauck,"Las Vegas,Nevada,United States of America",36.2291,-115.2607
@TAGOS22,"Pasadena,Texas,United States of America",29.6584,-95.1499
@100percentSDS,"Columbus,Ohio,United States of America",39.9860,-82.9852
@TANNY01,"New York,New York,United States of America",40.6943,-73.9249
@LucianoLexx,"New York,New York,United States of America",40.6943,-73.9249
@Kvoss1313,"Racine,Wisconsin,United States of America",42.7274,-87.8135
@yohancethagod,"Little Rock,Arkansas,United States of America",34.7255,-92.3581
@tantmorrrui62,"Kansas City,Kansas,United States of America",39.1234,-94.7443
@SusanKelleher,"Seattle,Washington,United States of America",47.6211,-122.3244
@hannahemoch,"New York,New York,United States of America",40.6943,-73.9249
@m55779447,"Seattle,Washington,United States of America",47.6211,-122.3244
@MemoryHold777,"New York,New York,United States of America",40.6943,-73.9249
@mslizheron,"Los Angeles,California,United States of America",34.1139,-118.4068
@cherrygalvez99,"Houston,Texas,United States of America",29.7868,-95.3905
@elissasalas_,"San Francisco,California,United States of America",37.7562,-122.4430
@BryantDunbar,"Chicago,Illinois,United States of America",41.8373,-87.6861
@TessEractica,"Los Angeles,California,United States of America",34.1139,-118.4068
@RepJimmyGomez,"Los Angeles,California,United States of America",34.1139,-118.4068
@Dumily_Chambers,"Chicago,Illinois,United States of America",41.8373,-87.6861
@alicekuhns,"Los Angeles,California,United States of America",34.1139,-118.4068
@BluePower_01,"San Antonio,Texas,United States of America",29.4722,-98.5247
@karenhellard,"Nashville,Tennessee,United States of America",36.1714,-86.7844
@jaydestarlight,"Los Angeles,California,United States of America",34.1139,-118.4068
@LeavUrImge2FDP,"Los Angeles,California,United States of America",34.1139,-118.4068
@MORTHYN,"Los Angeles,California,United States of America",34.1139,-118.4068
@erinnstumpf,"Sacramento,California,United States of America",38.5667,-121.4683
@2getbrown,"New York,New York,United States of America",40.6943,-73.9249
@thewademethod,"Detroit,Michigan,United States of America",42.3834,-83.1024
@zoilabrownc12,"Mesa,Arizona,United States of America",33.4017,-111.7181
@volarconalas,"Miami,Florida,United States of America",25.7840,-80.2102
@stacynolanamato,"New York,New York,United States of America",40.6943,-73.9249
@FloatNurse_RN,"Chicago,Illinois,United States of America",41.8373,-87.6861
@UFierce_Beauty,"New York,New York,United States of America",40.6943,-73.9249
@JacobianAccords,"Richmond,Virginia,United States of America",37.5295,-77.4756
@KeyroseLDO,"Laredo,Texas,United States of America",27.5616,-99.4870
@AnnHarris29,"Irvine,California,United States of America",33.6772,-117.7738
